USO2013,TU,month,temperature,rainfall,population,water_consumption
H2,DOMESTICO MEDIO,,30,57,22412,0.0
H1,SOCIAL,,35,10,33751,20.0
H2,DOMESTICO MEDIO,,26,89,15413,29.0
H2,DOMESTICO RESIDENCIAL,,25,8,14124,16.0
H3,DOMESTICO MEDIO,,20,84,12449,6.0
MX,COMERCIAL,,29,96,30684,3.0
H3,DOMESTICO MEDIO,,21,16,20601,12.0
H3,DOMESTICO RESIDENCIAL,,25,62,34297,13.0
MX,DOMESTICO MEDIO,,31,82,17392,9.0
H3,DOMESTICO MEDIO,,30,90,41638,5.0
H2,DOMESTICO MEDIO,,31,45,16553,9.0
H3,DOMESTICO MEDIO,,36,91,31839,17.0
H2,DOMESTICO MEDIO,,37,90,49227,29.0
H3,DOMESTICO RESIDENCIAL,,38,3,17010,4.0
H3,DOMESTICO MEDIO,,22,74,22196,15.0
H2,DOMESTICO MEDIO,,20,64,46155,19.0
H3,DOMESTICO MEDIO,,29,6,32344,23.0
H3,DOMESTICO MEDIO,,27,93,46757,8.0
H3,DOMESTICO MEDIO,,32,9,10302,23.0
H3,DOMESTICO MEDIO,,30,69,41323,17.0
MX,DOMESTICO MEDIO,,27,98,22151,17.0
H3,DOMESTICO MEDIO,,22,83,22769,16.0
H3,DOMESTICO MEDIO,,33,53,30073,20.0
H3,SOCIAL,,27,40,31744,2.0
H3,DOMESTICO MEDIO,,21,67,42896,9.0
H2,DOMESTICO MEDIO,,29,86,48562,3.0
H2,DOMESTICO RESIDENCIAL,,24,20,19797,21.0
H1,SOCIAL,,38,66,14059,10.0
H3,DOMESTICO MEDIO,,24,73,41497,19.0
H2,DOMESTICO MEDIO,,22,77,15583,10.0
H2,DOMESTICO MEDIO,,27,93,20325,17.0
H3,DOMESTICO MEDIO,,30,79,29796,20.0
H2,DOMESTICO RESIDENCIAL,,32,66,21061,24.0
H3,DOMESTICO MEDIO,,39,89,28149,0.0
H1,DOMESTICO MEDIO,,34,41,19780,10.0
H3,DOMESTICO RESIDENCIAL,,29,86,16021,15.0
H1,DOMESTICO MEDIO,,34,45,37205,24.0
H3,DOMESTICO MEDIO,,35,22,14503,10.0
H3,DOMESTICO MEDIO,,32,61,27998,10.0
H1,DOMESTICO MEDIO,,28,93,20707,18.0
H3,DOMESTICO RESIDENCIAL,,33,48,30980,23.0
H1,COMERCIAL,,37,9,31145,11.0
H2,COMERCIAL,,22,19,30334,20.0
H2,DOMESTICO MEDIO,,30,58,39055,23.0
H3,SOCIAL,,33,60,35964,21.0
H3,DOMESTICO MEDIO,,32,10,14720,21.0
H3,DOMESTICO MEDIO,,33,97,19390,25.0
H3,DOMESTICO MEDIO,,29,35,26967,20.0
H3,DOMESTICO MEDIO,,32,31,20028,16.0
H3,DOMESTICO MEDIO,,39,2,41854,25.0
H3,DOMESTICO MEDIO,,31,1,37500,18.0
H3,DOMESTICO MEDIO,,33,56,15123,30.0
H2,DOMESTICO MEDIO,,35,91,43439,21.0
H3,DOMESTICO MEDIO,,20,65,27449,10.0
MX,COMERCIAL,,26,15,18909,39.0
H3,DOMESTICO MEDIO,,32,37,49677,20.0
H2,DOMESTICO MEDIO,,26,73,34904,27.0
H3,COMERCIAL,,31,30,43583,1000.0
H2,DOMESTICO MEDIO,,29,91,39518,24.0
H3,DOMESTICO MEDIO,,27,56,26009,21.0
H3,DOMESTICO MEDIO,,38,29,44824,8.0
MX,COMERCIAL,,39,37,20466,6.0
H1,DOMESTICO MEDIO,,31,22,24400,15.0
H3,DOMESTICO MEDIO,,24,58,41776,22.0
H2,COMERCIAL,,36,71,48530,26.0
H3,DOMESTICO MEDIO,,21,4,16369,20.0
H2,DOMESTICO MEDIO,,35,56,28461,20.0
H2,DOMESTICO MEDIO,,30,63,19841,11.0
H3,DOMESTICO MEDIO,,38,44,48230,0.0
H3,DOMESTICO RESIDENCIAL,,27,41,19997,10.0
H2,DOMESTICO RESIDENCIAL,,36,31,22969,13.0
H2,DOMESTICO MEDIO,,21,78,29973,5.0
H2,DOMESTICO MEDIO,,27,75,24965,28.0
H2,DOMESTICO MEDIO,,29,63,42064,11.0
H2,DOMESTICO MEDIO,,22,20,27332,4.0
H2,DOMESTICO MEDIO,,28,99,27815,10.0
H2,DOMESTICO MEDIO,,21,59,46211,19.0
H1,DOMESTICO MEDIO,,20,39,15271,23.0
H1,COMERCIAL,,30,26,12484,928.0
H3,DOMESTICO MEDIO,,20,1,11198,17.0
H2,DOMESTICO RESIDENCIAL,,21,89,45197,14.0
H2,DOMESTICO MEDIO,,29,67,40463,21.0
H3,DOMESTICO RESIDENCIAL,,21,28,33292,24.0
H2,SOCIAL,,21,13,28489,14.0
H2,DOMESTICO MEDIO,,39,12,33427,11.0
H1,DOMESTICO MEDIO,,35,67,19461,37.0
H3,DOMESTICO MEDIO,,29,36,26872,7.0
H2,SOCIAL,,23,29,38072,22.0
H2,DOMESTICO MEDIO,,20,53,49217,18.0
MX,DOMESTICO MEDIO,,38,26,30572,20.0
H2,DOMESTICO MEDIO,,32,43,31495,5.0
H2,DOMESTICO MEDIO,,39,67,44109,19.0
H3,DOMESTICO RESIDENCIAL,,21,11,12651,20.0
H3,DOMESTICO MEDIO,,23,45,34966,18.0
H2,DOMESTICO MEDIO,,21,91,39703,10.0
H2,SOCIAL,,25,73,33126,1.0
H3,DOMESTICO MEDIO,,22,84,26050,0.0
H3,DOMESTICO MEDIO,,34,44,29980,8.0
H3,DOMESTICO RESIDENCIAL,,21,77,40288,8.0
H2,COMERCIAL,,38,53,40995,15.0
H3,DOMESTICO MEDIO,,23,44,10120,9.0
H3,SOCIAL,,32,5,18309,11.0
H3,DOMESTICO MEDIO,,39,6,22809,12.0
H3,DOMESTICO MEDIO,,25,67,23328,12.0
H3,DOMESTICO RESIDENCIAL,,30,41,12378,11.0
H2,DOMESTICO MEDIO,,39,25,13331,19.0
H3,DOMESTICO MEDIO,,30,29,25649,15.0
H3,DOMESTICO MEDIO,,38,88,15760,20.0
MX,DOMESTICO MEDIO,,29,71,43942,18.0
MX,COMERCIAL,,33,77,34148,28.0
H2,DOMESTICO MEDIO,,20,86,41564,11.0
H3,DOMESTICO RESIDENCIAL,,39,19,36153,0.0
H1,DOMESTICO MEDIO,,22,57,40091,10.0
H3,DOMESTICO MEDIO,,21,40,17302,20.0
H3,DOMESTICO MEDIO,,23,63,39399,24.0
MX,DOMESTICO MEDIO,,22,6,17254,10.0
H3,COMERCIAL,,38,9,38525,6180.0
H2,DOMESTICO MEDIO,,30,2,21206,35.0
H3,DOMESTICO MEDIO,,32,68,34931,19.0
H2,DOMESTICO RESIDENCIAL,,33,97,36479,0.0
H2,DOMESTICO RESIDENCIAL,,33,75,32354,34.0
H2,DOMESTICO MEDIO,,34,47,22644,22.0
H3,DOMESTICO RESIDENCIAL,,24,5,47106,15.0
H2,DOMESTICO MEDIO,,21,31,20544,29.0
H2,DOMESTICO MEDIO,,27,37,24958,21.0
H2,DOMESTICO MEDIO,,25,99,37827,22.0
H3,DOMESTICO MEDIO,,24,25,12511,20.0
H2,DOMESTICO MEDIO,,22,27,41930,15.0
H3,DOMESTICO MEDIO,,34,67,47491,16.0
H3,DOMESTICO MEDIO,,25,7,36096,15.0
H2,COMERCIAL,,26,96,42548,21.0
H2,DOMESTICO MEDIO,,31,60,42571,1.0
H2,DOMESTICO MEDIO,,36,46,23949,22.0
H1,DOMESTICO MEDIO,,24,88,47854,14.0
H2,DOMESTICO MEDIO,,30,46,44869,15.0
H2,DOMESTICO MEDIO,,22,39,24914,11.0
H3,DOMESTICO MEDIO,,38,18,24387,0.0
H2,SOCIAL,,28,72,13641,10.0
H3,DOMESTICO MEDIO,,35,60,31595,25.0
H3,DOMESTICO MEDIO,,29,71,28980,2.0
H3,DOMESTICO MEDIO,,21,7,10745,18.0
H3,DOMESTICO MEDIO,,32,16,44915,19.0
H3,COMERCIAL,,37,82,14329,4784.0
H2,DOMESTICO MEDIO,,26,91,22014,20.0
H2,DOMESTICO MEDIO,,26,97,44940,25.0
H1,DOMESTICO MEDIO,,35,86,19479,10.0
MX,DOMESTICO MEDIO,,21,81,43965,52.0
H2,DOMESTICO MEDIO,,38,18,31047,12.0
H2,DOMESTICO MEDIO,,22,84,22679,21.0
H2,SOCIAL,,34,95,40391,32.0
H3,DOMESTICO RESIDENCIAL,,21,14,33440,5.0
MX,COMERCIAL,,20,97,16697,0.0
H2,DOMESTICO MEDIO,,27,8,24344,13.0
H1,DOMESTICO MEDIO,,27,19,38304,12.0
H3,DOMESTICO MEDIO,,36,21,27604,23.0
H3,DOMESTICO MEDIO,,21,54,32763,22.0
H3,DOMESTICO MEDIO,,30,78,26214,8.0
H3,COMERCIAL,,32,83,23673,5181.0
H2,DOMESTICO MEDIO,,26,93,44596,10.0
H3,DOMESTICO MEDIO,,20,50,21195,20.0
H3,DOMESTICO MEDIO,,30,55,30905,13.0
H3,DOMESTICO MEDIO,,22,39,43266,20.0
H2,DOMESTICO MEDIO,,24,12,25977,14.0
H2,DOMESTICO MEDIO,,27,70,12279,11.0
H1,DOMESTICO MEDIO,,37,22,39812,56.0
H3,DOMESTICO RESIDENCIAL,,32,53,19666,15.0
H3,DOMESTICO RESIDENCIAL,,36,65,14045,13.0
MX,DOMESTICO BAJA,,34,45,27607,24.0
H3,DOMESTICO MEDIO,,38,66,41939,2.0
H2,DOMESTICO MEDIO,,38,60,40415,10.0
H3,DOMESTICO MEDIO,,24,18,36184,8.0
H2,DOMESTICO MEDIO,,24,61,36492,2.0
H2,DOMESTICO MEDIO,,24,31,37124,31.0
H1,DOMESTICO MEDIO,,21,38,30242,4.0
H1,DOMESTICO RESIDENCIAL,,33,91,31531,14.0
H3,DOMESTICO MEDIO,,34,92,45630,10.0
H3,DOMESTICO MEDIO,,23,97,45898,24.0
H3,DOMESTICO MEDIO,,22,8,17560,15.0
H3,DOMESTICO MEDIO,,32,44,20095,10.0
H3,DOMESTICO MEDIO,,36,15,17130,0.0
H2,DOMESTICO MEDIO,,23,35,11265,17.0
H3,DOMESTICO MEDIO,,24,84,44326,5.0
MX,DOMESTICO MEDIO,,28,8,37525,15.0
H3,DOMESTICO MEDIO,,39,70,22365,19.0
H1,SOCIAL,,39,5,16414,6.0
H2,DOMESTICO MEDIO,,26,56,30116,6.0
H2,DOMESTICO MEDIO,,32,15,46657,37.0
H3,DOMESTICO MEDIO,,39,66,12162,12.0
H3,DOMESTICO MEDIO,,36,78,18699,18.0
H3,DOMESTICO RESIDENCIAL,,21,90,27169,20.0
H3,DOMESTICO MEDIO,,35,76,28870,13.0
H3,DOMESTICO MEDIO,,21,90,41608,0.0
H3,DOMESTICO MEDIO,,27,7,41497,25.0
H2,SOCIAL,,35,70,41115,16.0
H2,SOCIAL,,27,23,34239,21.0
MX,DOMESTICO MEDIO,,30,75,48433,22.0
H3,DOMESTICO RESIDENCIAL,,37,4,27730,6.0
H1,DOMESTICO MEDIO,,36,63,37593,28.0
H3,DOMESTICO MEDIO,,30,53,47905,0.0
H2,DOMESTICO MEDIO,,36,37,11266,18.0
H2,DOMESTICO MEDIO,,24,34,40773,17.0
H2,DOMESTICO MEDIO,,34,25,18239,22.0
H3,DOMESTICO MEDIO,,34,36,37817,10.0
H1,SOCIAL,,30,31,29911,17.0
H3,DOMESTICO RESIDENCIAL,,33,82,19634,19.0
H3,DOMESTICO MEDIO,,32,81,42095,19.0
H3,DOMESTICO MEDIO,,25,38,40642,19.0
H3,DOMESTICO MEDIO,,29,29,15631,3.0
H2,DOMESTICO MEDIO,,28,61,44808,21.0
H3,DOMESTICO MEDIO,,27,94,44829,14.0
H3,DOMESTICO MEDIO,,28,15,47633,21.0
H3,DOMESTICO RESIDENCIAL,,37,81,25062,10.0
H3,DOMESTICO MEDIO,,31,79,41862,17.0
H3,COMERCIAL,,29,18,22682,1155.0
H2,DOMESTICO MEDIO,,28,34,41244,7.0
H3,DOMESTICO RESIDENCIAL,,25,30,32224,5.0
MX,COMERCIAL,,35,23,24452,5.0
H2,DOMESTICO MEDIO,,24,8,31318,22.0
H3,DOMESTICO MEDIO,,26,38,18144,0.0
H2,DOMESTICO MEDIO,,32,47,41029,7.0
H2,SOCIAL,,21,80,18178,21.0
H2,DOMESTICO MEDIO,,30,74,45645,22.0
H3,DOMESTICO MEDIO,,35,8,19654,10.0
MX,COMERCIAL,,27,31,49204,10.0
H2,DOMESTICO MEDIO,,32,12,23244,23.0
H3,DOMESTICO RESIDENCIAL,,20,37,16971,20.0
H3,DOMESTICO MEDIO,,22,63,44528,18.0
MX,COMERCIAL,,21,21,46778,18.0
H3,DOMESTICO MEDIO,,39,54,19775,19.0
H2,DOMESTICO MEDIO,,21,94,26945,55.0
MX,DOMESTICO MEDIO,,38,71,48967,22.0
H3,DOMESTICO MEDIO,,24,50,17577,14.0
H3,COMERCIAL,,21,49,31289,3323.0
H3,DOMESTICO MEDIO,,38,99,33880,18.0
H3,DOMESTICO MEDIO,,24,14,32456,22.0
H2,DOMESTICO RESIDENCIAL,,32,10,23464,0.0
H3,DOMESTICO MEDIO,,35,98,27381,14.0
H1,DOMESTICO MEDIO,,37,27,45241,9.0
H3,DOMESTICO MEDIO,,30,59,43619,16.0
H2,DOMESTICO MEDIO,,23,14,35803,20.0
MX,DOMESTICO MEDIO,,26,94,15825,19.0
H3,DOMESTICO MEDIO,,23,11,33297,25.0
H1,DOMESTICO MEDIO,,24,72,26247,9.0
H1,DOMESTICO MEDIO,,34,92,41083,20.0
H2,SOCIAL,,30,86,13554,10.0
H3,DOMESTICO MEDIO,,24,87,14460,20.0
H3,DOMESTICO MEDIO,,23,20,19205,28.0
H3,DOMESTICO MEDIO,,36,69,12254,7.0
H2,DOMESTICO MEDIO,,22,10,37772,13.0
H2,DOMESTICO MEDIO,,36,87,24726,3.0
H3,DOMESTICO MEDIO,,24,11,40707,23.0
H2,DOMESTICO MEDIO,,25,48,24117,23.0
H3,DOMESTICO RESIDENCIAL,,26,19,40606,0.0
H3,SOCIAL,,24,83,35962,37.0
H3,DOMESTICO MEDIO,,39,99,38854,10.0
H3,DOMESTICO RESIDENCIAL,,36,40,26556,10.0
H2,SOCIAL,,31,55,25480,1.0
H2,DOMESTICO MEDIO,,31,76,30005,21.0
H3,DOMESTICO MEDIO,,36,37,36294,22.0
H3,DOMESTICO MEDIO,,31,47,31339,10.0
H3,DOMESTICO MEDIO,,29,53,47401,18.0
H3,DOMESTICO MEDIO,,23,58,46278,7.0
H2,DOMESTICO MEDIO,,28,5,27561,18.0
H3,SOCIAL,,32,21,41721,21.0
H2,DOMESTICO MEDIO,,26,94,37111,10.0
MX,DOMESTICO MEDIO,,24,47,47004,11.0
H3,DOMESTICO MEDIO,,39,25,48678,19.0
H3,DOMESTICO MEDIO,,32,75,12888,20.0
H3,DOMESTICO RESIDENCIAL,,31,35,39164,19.0
H2,DOMESTICO MEDIO,,20,11,39332,13.0
H3,DOMESTICO MEDIO,,39,99,46307,25.0
H3,DOMESTICO RESIDENCIAL,,32,87,11299,16.0
H3,DOMESTICO MEDIO,,37,43,46236,18.0
H3,DOMESTICO MEDIO,,23,10,30688,12.0
H3,DOMESTICO MEDIO,,36,23,45132,20.0
H2,DOMESTICO MEDIO,,35,6,42184,14.0
H3,DOMESTICO RESIDENCIAL,,22,24,30439,28.0
H2,DOMESTICO MEDIO,,20,76,41023,7.0
H2,DOMESTICO MEDIO,,33,65,46391,8.0
H3,DOMESTICO MEDIO,,24,92,45057,20.0
H3,DOMESTICO MEDIO,,26,67,17255,19.0
H3,DOMESTICO MEDIO,,23,66,12477,25.0
H2,DOMESTICO MEDIO,,37,66,12192,7.0
H3,DOMESTICO RESIDENCIAL,,35,16,23749,13.0
H3,DOMESTICO MEDIO,,30,23,37452,23.0
H2,DOMESTICO MEDIO,,25,17,25823,0.0
H2,DOMESTICO MEDIO,,31,41,30796,7.0
H3,DOMESTICO MEDIO,,21,73,14343,15.0
H3,DOMESTICO MEDIO,,37,60,14890,20.0
H2,DOMESTICO MEDIO,,33,45,28994,0.0
H3,DOMESTICO MEDIO,,21,2,17564,34.0
H3,DOMESTICO MEDIO,,37,15,19419,10.0
H3,DOMESTICO MEDIO,,21,34,13150,11.0
H2,DOMESTICO MEDIO,,23,27,13318,21.0
H2,DOMESTICO MEDIO,,36,3,18850,7.0
H2,DOMESTICO MEDIO,,34,11,36215,28.0
H1,DOMESTICO MEDIO,,35,59,19179,23.0
H2,DOMESTICO MEDIO,,20,6,13216,21.0
H2,DOMESTICO MEDIO,,28,10,41383,30.0
H2,DOMESTICO MEDIO,,27,18,12482,7.0
H3,DOMESTICO MEDIO,,37,89,42617,15.0
H3,DOMESTICO MEDIO,,22,5,19654,35.0
H2,DOMESTICO MEDIO,,25,98,39323,19.0
H2,DOMESTICO MEDIO,,29,90,42641,11.0
H2,DOMESTICO MEDIO,,33,80,13311,15.0
H2,DOMESTICO MEDIO,,26,35,36002,11.0
H3,DOMESTICO RESIDENCIAL,,27,47,25852,0.0
H1,DOMESTICO MEDIO,,33,63,19048,35.0
H3,DOMESTICO MEDIO,,37,58,26573,82.0
H3,DOMESTICO MEDIO,,32,67,47462,24.0
H2,DOMESTICO RESIDENCIAL,,20,20,42046,11.0
H3,DOMESTICO RESIDENCIAL,,38,73,18318,27.0
H2,DOMESTICO MEDIO,,38,0,42629,24.0
H2,DOMESTICO MEDIO,,20,65,47818,30.0
H3,DOMESTICO MEDIO,,23,89,48645,1.0
H1,DOMESTICO MEDIO,,31,22,36774,29.0
H2,DOMESTICO MEDIO,,25,67,11539,15.0
H1,DOMESTICO MEDIO,,20,66,13669,31.0
H2,DOMESTICO RESIDENCIAL,,33,46,27799,11.0
H3,DOMESTICO MEDIO,,23,2,10474,23.0
H3,DOMESTICO MEDIO,,29,80,35990,10.0
H3,DOMESTICO MEDIO,,24,51,40469,1.0
H3,DOMESTICO MEDIO,,34,48,25485,20.0
H3,COMERCIAL,,24,54,41594,7.0
MX,COMERCIAL,,27,19,28118,10.0
H2,DOMESTICO RESIDENCIAL,,30,17,17359,8.0
H2,DOMESTICO MEDIO,,22,48,15566,23.0
H3,DOMESTICO MEDIO,,34,63,36932,20.0
H2,DOMESTICO MEDIO,,38,20,46507,10.0
H2,SOCIAL,,25,46,13741,29.0
H1,DOMESTICO MEDIO,,30,34,13365,21.0
H2,DOMESTICO MEDIO,,39,87,21228,27.0
H3,DOMESTICO RESIDENCIAL,,20,48,11646,14.0
H2,DOMESTICO MEDIO,,20,17,34082,20.0
H2,DOMESTICO MEDIO,,22,71,16727,40.0
H3,DOMESTICO MEDIO,,31,94,11079,8.0
H3,DOMESTICO RESIDENCIAL,,39,14,31084,14.0
MX,DOMESTICO MEDIO,,26,38,17732,19.0
H3,DOMESTICO MEDIO,,27,95,37789,21.0
H3,DOMESTICO RESIDENCIAL,,30,49,40176,16.0
H2,DOMESTICO MEDIO,,27,18,42107,12.0
MX,DOMESTICO MEDIO,,26,75,34065,26.0
H3,DOMESTICO RESIDENCIAL,,27,25,19087,15.0
H3,DOMESTICO RESIDENCIAL,,32,53,29281,15.0
H2,DOMESTICO MEDIO,,24,74,32408,12.0
H3,DOMESTICO MEDIO,,37,9,23295,0.0
H3,DOMESTICO RESIDENCIAL,,35,15,39928,0.0
H3,DOMESTICO RESIDENCIAL,,21,85,31045,3.0
H3,DOMESTICO MEDIO,,38,24,35489,8.0
H1,DOMESTICO MEDIO,,22,56,33127,6.0
H3,DOMESTICO MEDIO,,37,27,42536,10.0
H3,DOMESTICO MEDIO,,28,71,31619,22.0
H3,DOMESTICO MEDIO,,26,71,46459,22.0
H3,DOMESTICO RESIDENCIAL,,34,53,12209,9.0
H3,DOMESTICO MEDIO,,36,66,19687,15.0
H3,DOMESTICO MEDIO,,33,59,16283,23.0
H3,DOMESTICO MEDIO,,32,20,16250,17.0
H2,DOMESTICO MEDIO,,38,30,46386,0.0
H3,DOMESTICO MEDIO,,37,49,16360,19.0
H2,DOMESTICO MEDIO,,25,66,48562,24.0
MX,DOMESTICO MEDIO,,23,83,33390,22.0
H2,DOMESTICO MEDIO,,33,71,11250,7.0
H1,DOMESTICO MEDIO,,29,17,40142,18.0
H2,DOMESTICO MEDIO,,32,91,24990,17.0
H2,DOMESTICO MEDIO,,27,80,18997,25.0
H3,COMERCIAL,,33,2,20315,0.0
H2,DOMESTICO MEDIO,,26,67,38813,14.0
H2,DOMESTICO MEDIO,,26,98,22243,22.0
H3,DOMESTICO MEDIO,,23,49,20254,23.0
H1,DOMESTICO MEDIO,,25,43,30036,1.0
H2,SOCIAL,,29,45,10137,17.0
H2,DOMESTICO MEDIO,,27,97,27182,13.0
H2,DOMESTICO MEDIO,,31,36,11459,23.0
H3,DOMESTICO RESIDENCIAL,,23,14,43101,8.0
H1,DOMESTICO MEDIO,,24,27,29770,20.0
H3,DOMESTICO MEDIO,,38,61,48484,4.0
H3,DOMESTICO MEDIO,,32,46,10015,18.0
H3,DOMESTICO MEDIO,,37,14,37464,21.0
H3,DOMESTICO MEDIO,,33,22,15721,8.0
H2,DOMESTICO MEDIO,,28,66,20893,27.0
MX,DOMESTICO MEDIO,,20,34,28074,64.0
MX,DOMESTICO MEDIO,,36,92,43280,22.0
H3,DOMESTICO MEDIO,,27,20,10090,8.0
H3,DOMESTICO RESIDENCIAL,,27,49,46479,9.0
H2,DOMESTICO MEDIO,,31,93,29790,6.0
MX,DOMESTICO RESIDENCIAL,,34,88,38125,10.0
H3,DOMESTICO MEDIO,,24,41,12235,4.0
H3,DOMESTICO MEDIO,,24,75,29289,3.0
H2,DOMESTICO MEDIO,,25,82,11699,12.0
H2,DOMESTICO MEDIO,,26,3,40746,19.0
H3,DOMESTICO MEDIO,,23,46,20637,15.0
H3,DOMESTICO MEDIO,,26,35,13630,21.0
MX,COMERCIAL,,27,58,47001,4.0
H3,DOMESTICO RESIDENCIAL,,36,39,43120,0.0
MX,DOMESTICO MEDIO,,22,57,22388,2.0
H3,DOMESTICO RESIDENCIAL,,30,27,29671,0.0
H2,DOMESTICO MEDIO,,21,77,10911,21.0
H2,DOMESTICO MEDIO,,34,15,49608,0.0
H3,DOMESTICO BAJA,,28,21,33496,15.0
H3,DOMESTICO RESIDENCIAL,,34,86,49828,5.0
H2,DOMESTICO MEDIO,,33,13,12275,14.0
H3,DOMESTICO MEDIO,,35,32,46417,0.0
H2,DOMESTICO MEDIO,,34,92,30048,0.0
H2,DOMESTICO MEDIO,,37,80,38338,25.0
H2,DOMESTICO MEDIO,,21,55,45418,7.0
H3,DOMESTICO MEDIO,,32,62,17238,22.0
H3,DOMESTICO MEDIO,,34,3,49032,33.0
H3,DOMESTICO RESIDENCIAL,,21,31,28254,73.0
H2,DOMESTICO MEDIO,,27,58,34636,21.0
H2,DOMESTICO RESIDENCIAL,,25,79,18420,17.0
H1,DOMESTICO MEDIO,,37,44,35115,12.0
MX,DOMESTICO MEDIO,,31,98,28007,18.0
H3,DOMESTICO MEDIO,,22,47,43885,4.0
H1,DOMESTICO RESIDENCIAL,,20,88,48484,31.0
H3,DOMESTICO MEDIO,,36,83,39970,31.0
H3,DOMESTICO MEDIO,,32,86,16077,1.0
H3,DOMESTICO BAJA,,35,23,19281,5.0
H3,DOMESTICO MEDIO,,36,84,17581,21.0
H1,DOMESTICO MEDIO,,21,91,45840,28.0
H3,SOCIAL,,36,41,15992,32.0
MX,COMERCIAL,,21,59,43621,6.0
H3,DOMESTICO MEDIO,,21,71,38146,22.0
H2,SOCIAL,,36,76,20509,10.0
H3,DOMESTICO RESIDENCIAL,,22,56,45674,7.0
H2,DOMESTICO MEDIO,,24,47,41785,26.0
H2,DOMESTICO MEDIO,,25,0,14066,18.0
MX,COMERCIAL,,35,71,39207,13.0
H3,DOMESTICO RESIDENCIAL,,36,73,40256,8.0
H2,SOCIAL,,23,12,31546,18.0
H3,DOMESTICO MEDIO,,39,52,43148,12.0
H2,DOMESTICO MEDIO,,36,96,34275,1.0
H2,SOCIAL,,39,90,15629,21.0
H2,SOCIAL,,34,34,12082,29.0
H2,DOMESTICO MEDIO,,38,33,13850,19.0
H2,DOMESTICO MEDIO,,23,49,40388,0.0
H3,DOMESTICO MEDIO,,26,47,24910,7.0
H2,DOMESTICO MEDIO,,39,7,33974,23.0
H1,DOMESTICO MEDIO,,39,25,23182,25.0
H2,SOCIAL,,33,19,20941,7.0
H2,DOMESTICO MEDIO,,31,57,27662,20.0
H2,DOMESTICO BAJA,,28,77,30605,10.0
H2,DOMESTICO MEDIO,,23,48,10468,10.0
H2,DOMESTICO MEDIO,,23,66,19994,10.0
H2,SOCIAL,,31,18,39711,18.0
H3,DOMESTICO RESIDENCIAL,,36,97,27611,2.0
H3,DOMESTICO MEDIO,,39,11,23265,12.0
H3,DOMESTICO MEDIO,,34,26,44081,10.0
H2,SOCIAL,,37,98,24429,29.0
H3,DOMESTICO RESIDENCIAL,,33,65,11401,25.0
H3,DOMESTICO MEDIO,,31,88,20646,25.0
H2,DOMESTICO MEDIO,,32,49,41371,21.0
H3,DOMESTICO MEDIO,,36,91,11608,18.0
H2,COMERCIAL,,35,87,34559,36.0
H3,DOMESTICO MEDIO,,29,96,49359,0.0
H2,DOMESTICO MEDIO,,39,6,36351,36.0
H2,DOMESTICO MEDIO,,35,23,45154,9.0
H2,DOMESTICO RESIDENCIAL,,26,52,22202,26.0
H3,DOMESTICO MEDIO,,32,25,14439,10.0
MX,DOMESTICO MEDIO,,21,16,26131,50.0
MX,DOMESTICO MEDIO,,22,15,19916,37.0
H2,DOMESTICO MEDIO,,30,68,37211,0.0
H2,DOMESTICO MEDIO,,28,15,30993,12.0
